number	Sim	density	$DOMM	density	$EMERG	density	$INTROM	density	$NANC	density	$NSUB	density	$NTEM	density	$RECM	density	$SRD	density	$SRW	density	$TRANSIT	density	$CONN	density
53	25.7374	-nan	0.0153992	-nan	15262	-nan	0.0263048	-nan	15256.8	-nan	5964.74	-nan	5977.06	-nan	0.0052287	-nan	0.804599	-nan	0.519803	-nan	2625.43	-nan	70844.7	-nan
54	26.2323	-nan	0.0156951	-nan	15362.8	-nan	0.0268087	-nan	15357.5	-nan	6050.23	-nan	6062.48	-nan	0.00532906	-nan	0.808532	-nan	0.527876	-nan	2675.81	-nan	70992.9	-nan
55	26.7273	-nan	0.0159911	-nan	15463.5	-nan	0.0273126	-nan	15458.3	-nan	6135.73	-nan	6147.91	-nan	0.00542942	-nan	0.812466	-nan	0.535949	-nan	2726.18	-nan	71141.2	-nan
56	27.2222	-nan	0.016287	-nan	15564.3	-nan	0.0278166	-nan	15559	-nan	6221.22	-nan	6233.33	-nan	0.00552978	-nan	0.816399	-nan	0.544023	-nan	2776.56	-nan	71289.4	-nan
57	27.7172	-nan	0.0165829	-nan	15665.1	-nan	0.0283205	-nan	15659.7	-nan	6306.72	-nan	6318.76	-nan	0.00563014	-nan	0.820333	-nan	0.552096	-nan	2826.93	-nan	71437.7	-nan
58	28.2121	-nan	0.0168789	-nan	15765.9	-nan	0.0288244	-nan	15760.5	-nan	6392.21	-nan	6404.18	-nan	0.00573049	-nan	0.824266	-nan	0.560169	-nan	2877.3	-nan	71586	-nan
59	28.7071	-nan	0.0171748	-nan	15866.7	-nan	0.0293283	-nan	15861.2	-nan	6477.71	-nan	6489.61	-nan	0.00583085	-nan	0.8282	-nan	0.568242	-nan	2927.68	-nan	71734.2	-nan
60	29.202	-nan	0.0174708	-nan	15967.5	-nan	0.0298323	-nan	15961.9	-nan	6563.2	-nan	6575.03	-nan	0.00593121	-nan	0.832134	-nan	0.576315	-nan	2978.05	-nan	71882.5	-nan
61	29.697	-nan	0.0177667	-nan	16068.3	-nan	0.0303362	-nan	16062.6	-nan	6648.7	-nan	6660.45	-nan	0.00603157	-nan	0.836067	-nan	0.584388	-nan	3028.42	-nan	72030.8	-nan
62	30.1919	-nan	0.0180627	-nan	16169.1	-nan	0.0308401	-nan	16163.4	-nan	6734.19	-nan	6745.88	-nan	0.00613193	-nan	0.840001	-nan	0.592461	-nan	3078.8	-nan	72179	-nan
63	30.6869	-nan	0.0183586	-nan	16269.8	-nan	0.031344	-nan	16264.1	-nan	6819.69	-nan	6831.3	-nan	0.00623229	-nan	0.843934	-nan	0.600534	-nan	3129.17	-nan	72327.3	-nan
64	31.1818	-nan	0.0186546	-nan	16370.6	-nan	0.031848	-nan	16364.8	-nan	6905.18	-nan	6916.73	-nan	0.00633265	-nan	0.847868	-nan	0.608607	-nan	3179.55	-nan	72475.5	-nan
65	31.6768	-nan	0.0189505	-nan	16471.4	-nan	0.0323519	-nan	16465.5	-nan	6990.68	-nan	7002.15	-nan	0.00643301	-nan	0.851801	-nan	0.61668	-nan	3229.92	-nan	72623.8	-nan
66	32.1717	-nan	0.0192465	-nan	16572.2	-nan	0.0328558	-nan	16566.3	-nan	7076.17	-nan	7087.58	-nan	0.00653337	-nan	0.855735	-nan	0.624754	-nan	3280.29	-nan	72772.1	-nan
67	32.6667	-nan	0.0195424	-nan	16673	-nan	0.0333597	-nan	16667	-nan	7161.67	-nan	7173	-nan	0.00663373	-nan	0.859668	-nan	0.632827	-nan	3330.67	-nan	72920.3	-nan
68	33.1616	-nan	0.0198383	-nan	16773.8	-nan	0.0338637	-nan	16767.7	-nan	7247.16	-nan	7258.42	-nan	0.00673409	-nan	0.863602	-nan	0.6409	-nan	3381.04	-nan	73068.6	-nan
69	33.6566	-nan	0.0201343	-nan	16874.6	-nan	0.0343676	-nan	16868.5	-nan	7332.66	-nan	7343.85	-nan	0.00683445	-nan	0.867535	-nan	0.648973	-nan	3431.41	-nan	73216.9	-nan
70	34.1515	-nan	0.0204302	-nan	16975.4	-nan	0.0348715	-nan	16969.2	-nan	7418.15	-nan	7429.27	-nan	0.0069348	-nan	0.871469	-nan	0.657046	-nan	3481.79	-nan	73365.1	-nan
71	34.6465	-nan	0.0207262	-nan	17076.2	-nan	0.0353754	-nan	17069.9	-nan	7503.65	-nan	7514.7	-nan	0.00703516	-nan	0.875402	-nan	0.665119	-nan	3532.16	-nan	73513.4	-nan
72	35.1414	-nan	0.0210221	-nan	17176.9	-nan	0.0358793	-nan	17170.6	-nan	7589.14	-nan	7600.12	-nan	0.00713552	-nan	0.879336	-nan	0.673192	-nan	3582.54	-nan	73661.6	-nan
73	35.6364	-nan	0.0213181	-nan	17277.7	-nan	0.0363833	-nan	17271.4	-nan	7674.64	-nan	7685.55	-nan	0.00723588	-nan	0.88327	-nan	0.681265	-nan	3632.91	-nan	73809.9	-nan
74	36.1313	-nan	0.021614	-nan	17378.5	-nan	0.0368872	-nan	17372.1	-nan	7760.13	-nan	7770.97	-nan	0.00733624	-nan	0.887203	-nan	0.689338	-nan	3683.28	-nan	73958.2	-nan
75	36.6263	-nan	0.02191	-nan	17479.3	-nan	0.0373911	-nan	17472.8	-nan	7845.63	-nan	7856.39	-nan	0.0074366	-nan	0.891137	-nan	0.697411	-nan	3733.66	-nan	74106.4	-nan
